as_of,skladowa,faza,symbol,kierunek,data_wejscia,cena_wejscia,cena_biezaca,planowane_wyjscie,dzwignia,waga,k,wielkosc_proc_kapitalu,depozyt_proc_kapitalu,zwrot_biezacy_proc,przed_startem
2026-09-25,trend,1,ENAUSDT,long,2026-09-22,0.21653,0.26801,2026-09-29,2.0,0.00222612487437482,0.5699873952881126,0.12688631187309804,0.06344315593654902,23.77499653627675,True
2026-09-25,trend,1,ETHUSDT,long,2026-09-22,2752.69,2690.56,2026-09-29,2.0,0.004851305576552145,0.5699873952881126,0.27651830293256524,0.13825915146628262,-2.2570649074178384,True
2026-09-25,trend,1,HYPEUSDT,long,2026-09-22,97.21,92.368,2026-09-29,2.0,0.0033467824410490198,0.5699873952881126,0.1907623806169522,0.0953811903084761,-4.980969036107396,True
2026-09-25,trend,1,LINKUSDT,long,2026-09-22,13.044,13.924,2026-09-29,2.0,0.004293975369609908,0.5699873952881126,0.24475118363552617,0.12237559181776309,6.746396810794231,True
2026-09-25,trend,1,PUMPUSDT,short,2026-09-22,0.004484,0.004194,2026-09-29,2.0,-0.002174068846436701,0.5699873952881126,0.1239191838957487,0.06195959194787435,6.467439785905449,True
2026-09-25,trend,1,SOLUSDT,long,2026-09-22,118.49,122.1,2026-09-29,2.0,0.0044754590853984194,0.5699873952881126,0.25509552668047636,0.12754776334023818,3.0466706051143655,True
2026-09-25,trend,1,SUIUSDT,long,2026-09-22,1.0233,1.1943,2026-09-29,2.0,0.0033798912275863208,0.5699873952881126,0.19264953971690682,0.09632476985845341,16.710642040457337,True
2026-09-25,trend,1,TRUMPUSDT,long,2026-09-22,2.246,2.122,2026-09-29,2.0,0.002498397286378885,0.5699873952881126,0.14240549616579892,0.07120274808289946,-5.520926090828149,True
2026-09-25,trend,1,TUTUSDT,short,2026-09-22,0.02618,0.026,2026-09-29,2.0,-0.000675940349995293,0.5699873952881126,0.03852774794639523,0.019263873973197614,0.6875477463712754,True
2026-09-25,trend,1,XRPUSDT,long,2026-09-22,1.572,1.5677,2026-09-29,2.0,0.003956917087737815,0.5699873952881126,0.22553928642107013,0.11276964321053506,-0.27353689567429784,True
2026-09-25,trend,1,ZECUSDT,long,2026-09-22,1629.94,1555.2,2026-09-29,2.0,0.001976308750582904,0.5699873952881126,0.11264710770298536,0.05632355385149268,-4.585444863001098,True
2026-09-25,trend,2,1000PEPEUSDT,long,2026-09-23,0.0043318,0.0044875,2026-09-30,2.0,0.0026368451634840996,0.5699873952881126,0.15029685065123594,0.07514842532561797,3.594348769564615,False
2026-09-25,trend,2,ACEUSDT,short,2026-09-23,0.1834,0.1944,2026-09-30,2.0,-0.0009684260165135029,0.5699873952881126,0.055199062268177425,0.027599531134088712,-5.997818974918201,False
2026-09-25,trend,2,ADAUSDT,long,2026-09-23,0.2382,0.2586,2026-09-30,2.0,0.003611723314097633,0.5699873952881126,0.20586367643038597,0.10293183821519299,8.564231738035266,False
2026-09-25,trend,2,AKEUSDT,long,2026-09-23,0.043341,0.032779,2026-09-30,2.0,0.0004679740391206574,0.5699873952881126,0.02667393036208408,0.01333696518104204,-24.36953462079785,False
2026-09-25,trend,2,BNBUSDT,long,2026-09-23,767.76,777.53,2026-09-30,2.0,0.006959584281258377,0.5699873952881126,0.39668753167625537,0.19834376583812768,1.2725330832551895,False
2026-09-25,trend,2,BTCUSDT,long,2026-09-23,84355.1,84056.0,2026-09-30,2.0,0.006592491137090115,0.5699873952881126,0.3757636851689962,0.1878818425844981,-0.3545725154732837,False
2026-09-25,trend,2,BTWUSDT,long,2026-09-23,1.0379,1.3154,2026-09-30,2.0,0.0009856720424161456,0.5699873952881126,0.05618206400650929,0.028091032003254645,26.736679834280743,False
2026-09-25,trend,2,CYSUSDT,short,2026-09-23,0.1701,0.1854,2026-09-30,2.0,-0.0009264650443613088,0.5699873952881126,0.0528073397460988,0.0264036698730494,-8.994708994709,False
2026-09-25,trend,2,DOGEUSDT,long,2026-09-23,0.09267,0.09893,2026-09-30,2.0,0.004011368117128946,0.5699873952881126,0.22864292646241083,0.11432146323120541,6.755152692349187,False
